artist_searched,artist,track_name,album,release_date,popularity,duration_ms,explicit,track_id
ellie goulding,Calvin Harris,Miracle (with Ellie Goulding),Miracle (with Ellie Goulding),2023-03-10,,186496,False,5eTaQYBE1yrActixMAeLcZ
sia,Sia,Chandelier,1000 Forms Of Fear,2014-07-04,,216120,False,4VrWlk8IQxevMvERoX08iC
sia,David Guetta,Titanium (feat. Sia),Nothing but the Beat (Ultimate Edition),2012-12-07,,245040,False,0TDLuuLlV54CkRRUOahJb4
sia,Sia,Unstoppable,This Is Acting,2016-01-29,,217746,False,2J2Z1SkXYghSajLibnQHOa
sia,David Guetta,Beautiful People,Beautiful People,2025-03-07,,187086,False,4TwEdnSiTPDR1vg1QZ5K8W
sia,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,Icarus Falls,2018-12-14,,239000,False,3e7sxremeOE3wTySiOhGiP
justin bieber,Justin Bieber,DAISIES,SWAG,2025-07-11,,176453,False,5BZsQlgw21vDOAjoqkNgKb
justin bieber,Justin Bieber,Love Yourself,Purpose (Deluxe),2015-11-13,,233720,False,50kpGaPAhYJ3sGmk6vplg0
justin bieber,Justin Bieber,Confident,Journals,2014-05-13,,248133,False,3JsydWaf2Ev4ehaLUjj3SY
justin bieber,Justin Bieber,Beauty And A Beat,Believe,2012-01-01,,227986,False,6QFCMUUq1T2Vf5sFUXcuQ7
justin bieber,Justin Bieber,Sorry,Purpose (Deluxe),2015-11-13,,200786,False,09CtPGIpYB4BrO8qb1RGsF
fifth harmony,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),2016-05-27,,214477,False,4tCtwWceOPWzenK2HAIJSb
fifth harmony,Fifth Harmony,Worth It (feat. Kid Ink),Reflection (Deluxe),2015-01-30,,224573,False,41Fflg7qHiVOD6dEPvsCzO
fifth harmony,Fifth Harmony,I'm In Love With a Monster,I'm In Love With a Monster,2015-08-14,,211786,False,0hO71r8vbnrXSaXVrR9ptF
fifth harmony,Fifth Harmony,That's My Girl,7/27 (Deluxe),2016-05-27,,204018,False,2ACOWPLUe4A4KuQ5ioD2od
fifth harmony,Maluma,Sin Contrato (feat. Fifth Harmony),Sin Contrato (feat. Fifth Harmony),2015-11-20,,181269,False,09S64DUkxIX9EwIaULu6yN
amy winehouse,Amy Winehouse,Back To Black,Back To Black,2006-10-27,,240440,True,30FURVTCpbKyykjSEQzGkH
amy winehouse,Amy Winehouse,You Know I'm No Good,Back To Black,2006-10-27,,256946,False,4zQuwW24dweWcaX0fEJkP2
amy winehouse,Amy Winehouse,Back To Black,Back To Black (Deluxe Edition),2006,,241293,True,3FAclTFfvUuQYnEsptbK8w
amy winehouse,Amy Winehouse,Tears Dry On Their Own,Back To Black,2006-10-27,,185186,True,6yLX8QnxlnEqZfs3YKCfjF
amy winehouse,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,Version,2007-04-16,,219413,False,6kopmMZiyLmw7h66uXcXR7
avicii,Avicii,Wake Me Up,True,2013-09-16,,247426,False,0nrRP2bk19rLc0orkWPQk2
avicii,Avicii,The Nights,The Days / Nights,2014-01-01,,176658,False,0ct6r3EGTcMLPtrXHDvVjc
avicii,Avicii,Waiting For Love,Stories,2015-10-02,,230613,False,2P4OICZRVAQcYAV2JReRfj
avicii,Avicii,Hey Brother,True,2013-09-16,,255093,False,4lhqb6JvbHId48OUJGwymk
avicii,Avicii,Levels - Radio Edit,Levels,2011-10-28,,199906,False,5UqCQaDshqbIk3pkhy4Pjg
bruno mars,Bruno Mars,Risk It All,The Romantic,2026-02-27,,204068,False,5y2ijHECwFYWqcAHKTZgzD
bruno mars,Bruno Mars,Locked out of Heaven,Unorthodox Jukebox,2012-12-07,,233478,False,3w3y8KPTfNeOKPiqUTakBh
bruno mars,Bruno Mars,I Just Might,I Just Might,2026-01-09,,212973,False,12bYYQaLqHliSXvRIYlq8G
bruno mars,Bruno Mars,Just the Way You Are,Doo-Wops & Hooligans,2010-05-11,,220734,False,47Slg6LuqLaX0VodpSCvPt
bruno mars,Lady Gaga,Die With A Smile,Die With A Smile,2024-08-16,,251667,False,2plbrEY59IikOBgBGLjaoe
sam smith,Sam Smith,I'm Not The Only One,In The Lonely Hour,2014-05-26,,239316,False,7795WJLVKJoAyVoOtCWqXN
sam smith,Sam Smith,Stay With Me,In The Lonely Hour,2014-05-26,,172723,False,5Nm9ERjJZ5oyfXZTECKmRt
sam smith,Sam Smith,Too Good At Goodbyes,The Thrill Of It All (Special Edition),2017-11-03,,201000,False,1mXVgsBdtIVeCLJnSnmtdV
